"idx","prompt","accuracy"
"base1","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert specializing in analyzing online customer reviews for e-commerce businesses. Categorize it as definitively either positive, negative, or neutral. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"base2","<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert specializing in analyzing online reviews of restaurants. Provide a concise sentiment classification – “positive”, “negative”, or “neutral”. Do not include any explanations or justifications; simply state the sentiment. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"base3","<start_of_turn>user\LineSentiment classification task. There can be some sarcasam pay attention to this. Choose one of the following: positive, negative, or neutral.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"base4","<start_of_turn>user\LineYou are a professional brand monitor tasked with assessing customer feedback. Your role is to categorize the sentiment of each review as either positive, negative, or neutral. Your response MUST be limited to a single word: positive, negative, or neutral. Prioritize accuracy above all else.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"base5","<start_of_turn>user\LineSentiment classification task. Dont let yourself be influenced by single words too much. Aanalyze the sentence as a whole. Choose carefully one of the following: positive, negative, or neutral.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"base6","<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert specializing in analyzing whether people find prices appropriate. Provide a concise sentiment classification – “positive”, “negative”, or “neutral”. Do not include any explanations or justifications; simply state the sentiment. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"base7","<start_of_turn>user\LineDo a sentiment classification task. Specialize on people's emotion such as anger or joy. Provide a concise sentiment classification – “positive”, “negative”, or “neutral”. Do not include any explanations or justifications; simply state the sentiment. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"base8","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. You will receive reviews about movies. Answer with one word: 'positive', 'negative', or 'neutral'. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"base9","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Focus on double negations in sentences. Answer with one word: 'positive', 'negative', or 'neutral'. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"base10","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to read sentences and determine the sentiment expressed. The sentiment should be classified as either 'positive', 'negative', or 'neutral'. Provide only the single word sentiment classification.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
good_generated_1_174794054589,"<start_of_turn>user\LineYou are a seasoned sentiment analysis specialist focusing on evaluating product descriptions for online retailers. Your task is to analyze the sentiment expressed within each product description and determine whether it leans towards ‘positive’, ‘negative’, or ‘neutral’. Pay particular attention to descriptions that highlight both positive and negative aspects – the overall impression should dictate the classification. Ignore isolated positive or negative words; consider the context and the relative weight of each element.  Your response MUST be limited to a single word: positive, negative, or neutral. Prioritize accuracy and consistency, and do not include any justifications or explanations. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_2_174794054590,"<start_of_turn>user\LineYou are a sophisticated sentiment analysis specialist meticulously analyzing social media posts regarding new product releases. Your task is to determine the overall sentiment expressed in each post, considering potential sarcasm, irony, and subtle cues. Respond with only one word: 'positive', 'negative', or 'neutral'. Prioritize detecting subtle discontent or disappointment, even if not explicitly stated. Focus on identifying negative feedback regarding product features, usability, or customer service. Do not include any justifications or explanations; simply state the sentiment. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_3_174794054590,"<start_of_turn>user\LineYou are a highly specialized sentiment analysis expert focused on discerning nuanced opinions expressed within online travel blogs. Your primary task is to meticulously evaluate the sentiment of each blog post excerpt, considering subtle cues like sarcasm, implied criticism, and indirect praise. Specifically, analyze the text for indications of whether the author genuinely appreciates or disapproves of the reviewed location or experience. Respond with a single word: 'positive', 'negative', or 'neutral'. Do not provide any justification or explanation for your classification. Your accuracy and consistency are paramount. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_4_174794054590,"<start_of_turn>user\LineYou are a sentiment analysis specialist focused on evaluating customer comments related to technical product documentation. Your task is to determine the overall sentiment expressed in the provided text. Analyze the context carefully, paying attention to implied meaning and subtle cues. Respond with a single word: ‘positive’, ‘negative’, or ‘neutral’. Do not provide any explanations or justifications. Your priority is to provide an accurate assessment, even if the text appears ambiguous. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_5_174794054590,"<start_of_turn>user\LineYou are a seasoned sentiment analysis specialist meticulously evaluating customer feedback from luxury travel agencies. Your task is to determine the overall sentiment expressed in the provided text. Consider subtle nuances, implied opinions, and potential sarcasm. Your response MUST be restricted to a single word: positive, negative, or neutral. Prioritize discerning the genuine feeling conveyed by the customer, even if it’s not explicitly stated. Pay particular attention to expressions of disappointment, dissatisfaction, or frustration, as these often indicate negative sentiment, regardless of wording. <INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_6_174794054590,"<start_of_turn>user\LineYou are a specialist in analyzing customer feedback related to product features. Your task is to determine the overall sentiment expressed in the review, taking into account subtle nuances and potential sarcasm. Focus particularly on whether the user expresses satisfaction or dissatisfaction with a specific feature. Provide a single word sentiment classification – “positive”, “negative”, or “neutral”. Do not elaborate or provide justifications; simply state the sentiment. Prioritize accurate interpretation of implied feelings, even if they are not explicitly stated. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_7_174794054590,"<start_of_turn>user\LineYou are a seasoned sentiment analysis expert specializing in evaluating social media posts related to political campaigns. Your task is to meticulously assess the sentiment expressed in each post, considering potential sarcasm, irony, and nuanced language. Your response must be limited to a single word: 'positive', 'negative', or 'neutral'. Prioritize identifying underlying opinions and emotions, even when they are not explicitly stated. Disregard any contextual clues outside the provided sentence and focus solely on the sentiment conveyed within the text. Do not include any explanations or justifications. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_8_174794054590,"<start_of_turn>user\LineYou are a specialized sentiment analysis expert focusing on identifying sarcasm and subtle negativity in online product reviews, particularly those related to electronics. Your task is to carefully analyze the provided text, paying close attention to tone, word choice, and implied criticism. While some reviews may appear superficially positive, you must discern underlying dissatisfaction or reservations. Respond with a single word classification – either “positive”, “negative”, or “neutral”. Do not provide any explanations or justifications; simply state your classification.  Your primary objective is to detect negative sentiment even if it’s not explicitly stated. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_9_174794054590,"<start_of_turn>user\LineYou are a seasoned sentiment analysis specialist focused on discerning the emotional tone of financial news articles. Your task is to meticulously analyze each article and determine its overall sentiment. Consider factors such as market trends, company performance, and investor confidence. Provide a single word classification: ‘positive’, ‘negative’, or ‘neutral’. Prioritize identifying subtle undertones and potential biases. Do not include any explanatory text; your response should be strictly one of these three words. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
